ABOO AVL Rojinegro
81570799 3036149 2117190
15399218 2173040 2095610
72792270 2219780 2014120
14811158 2113040 2032439
54684873 2337409 2125980
18637208 1591720 1732639
9826948 1550290 1768080
78960270 1514650 1527570
14544258 2098090 2093160
75387940 2266990 2293850
27875396 1917040 1426510
68289361 1533790 1549000
9479399 1822890 1850819
69328532 2163800 2117649
19874688 2309999 2365869
82577440 2128990 1444690
10402998 2031710 2391110
14365688 2377960 2373069
51531644 2390470 2179040
17606418 2665240 3639089
90841378 2252880 2345350
67541881 1443860 1410119
15923248 2555910 1831450
12262328 1797190 1545300
63109712 3643840 2088109
28876247 2325030 2063110
66057222 1995710 1568620
7999119 1507510 1397030
14638388 1800480 1586480
64354422 1598350 1950980
26432646 63180243 2130869
42592665 1808160 1409890
58593172 1518220 1386740
12385589 1382630 1364050
7739019 2130920 2021620
80993890 2312660 2029140
82994190 6223869 2507230
19240178 2109129 1829690
11101449 2065460 1778489
66410372 2375290 1509600
12599129 1797620 1733360
9926208 50881594 2171050
22371587 1866440 2004080
12374558 1619320 1389500
69241661 2110510 1781149
10818068 1479869 1493040
9239899 1461910 1483809
77202171 2138700 2026280
11006758 1635440 1779940
8929649 50737494 2248820
28529347 2058229 1873740
12239518 1582459 1594490
71415301 2063270 1960170
76376260 2151080 1989570
20101878 2012089 1984320
13538478 2038780 57910153
22430587 2005830 1955190
14201628 2000360 1951460
68304861 2291069 1688561
14055768 1565880 1359649
10089729 2222220 52072603
12385459 2025820 1581620
10166169 1914430 1553600
10908369 2045960 55087664
14985528 1397020 1440219
12196359 1379900 1398670
10490219 2102170 1569670
70621891 1420030 1503470
10278139 2026559 2067670
8921099 1395150 1411000
66440003 2232339 2024259
13110818 1659460 1664220
10666148 54617974 1553760
23684588 1617770 1845520
